hhidpn,wavenum,hitot,rheight,age,female
11716010,12,17136,1.6891,75,0
11765010,12,19560,1.8542,75,0
11787010,12,18960,1.651,72,1
11798010,12,18000,1.6256,76,1
11802010,12,171756.6338,1.7018,79,0
11802011,12,171756.6338,1.7018,57,1
11810010,12,47027.96848,1.8542,76,0
11825010,12,19800,1.7272,75,0
11826011,12,26232,1.8034,65,0
11841010,12,64908.29146,1.8542,77,0
11854010,12,43000,1.651,78,0
11854020,12,43000,1.5494,75,1
11856010,12,16248,1.6256,82,1
11859010,12,16872,1.4986,76,1
11862030,12,11076,1.778,72,0
11878040,12,14930.6,1.6891,66,1
11881010,12,28800,1.778,78,0
11881011,12,28800,1.7018,68,1
11902031,12,7004.373536,1.4986,65,1
11911010,12,98319.26462,1.778,74,0
11911040,12,98319.26462,1.651,66,1
11932020,12,15600,1.524,79,1
11933010,12,36276,1.5621,73,1
11936012,12,20724,1.5748,74,1
11937010,12,17208,1.5494,76,1
11948020,12,11040,1.5748,78,1
11983040,12,68057.39691,1.7526,70,0
11993010,12,134000,1.6764,81,0
11993020,12,134000,1.6002,72,1
11999010,12,48480.36,1.7272,77,0
11999020,12,48480.36,1.6256,77,1
12005010,12,37200,1.6002,80,1
12009010,12,85416,1.7272,74,1
12033010,12,47586,1.8034,73,0
12033011,12,14544,1.5621,72,1
12045011,12,18168,1.778,83,1
12094010,12,13212,1.6764,76,0
12094011,12,10680,1.6256,71,1
12104010,12,15756,1.6256,78,1
12112030,12,40668,1.6002,65,1
12124020,12,31400,1.6764,76,0
12124030,12,31400,1.6764,72,1
12135020,12,87888,1.4986,81,1
12145020,12,15804,1.6764,82,1
12161010,12,23000,1.6764,75,1
12162010,12,23553,1.5748,81,1
12166010,12,76350.99722,1.7526,76,0
12166040,12,76350.99722,1.5748,69,1
12172010,12,20116,1.6764,72,1
12179010,12,11220,1.7018,83,1
12195010,12,3600,1.6256,83,1
12196010,12,83498.2859,1.5748,74,1
12196020,12,83498.2859,1.8161,77,0
12218010,12,38856,1.778,78,0
12218020,12,38856,1.651,73,1
12232010,12,38739.18224,1.8542,79,0
12232040,12,38739.18224,1.5748,70,1
12235010,12,26358,1.6637,76,0
12235040,12,26358,1.6129,71,1
12242010,12,40120,1.7272,81,0
12242020,12,40120,1.5748,81,1
12243020,12,59208,1.7018,75,0
12243030,12,59208,1.651,70,1
12257040,12,26678.80196,1.6764,72,1
12273010,12,152301,1.6002,81,1
12274010,12,91539.22897,1.91135,79,0
12274020,12,91539.22897,1.6637,79,1
12276020,12,38412,1.6002,82,1
12276030,12,38412,1.8034,84,0
12280020,12,51836,1.6891,72,1
12280030,12,51836,1.8288,84,0
12285010,12,49720,1.6764,74,1
12292010,12,41024,1.6002,75,1
12292020,12,41024,1.778,74,0
12310010,12,17151.49417,1.778,76,0
12318010,12,19227,1.5494,81,1
12319010,12,81076.16716,1.6256,73,1
12344010,12,128600,1.778,76,0
12344020,12,128600,1.6764,74,1
12345020,12,16982.8472,1.6764,73,1
12393020,12,30388,1.6256,82,1
12394010,12,9870,1.5748,81,1
12418020,12,30048,1.6256,78,1
12443040,12,41424,1.6256,68,1
12445010,12,32025.93369,1.5494,77,1
12455010,12,26532,1.5621,79,1
12458020,12,39536,1.5494,75,1
12474040,12,55798,1.54305,67,1
12479010,12,59472,1.6256,78,0
12481010,12,100900,1.5748,75,1
12481011,12,100900,1.6002,68,1
12484010,12,30080,1.7018,79,1
12484020,12,30080,1.8288,78,0
12494040,12,2000,1.7018,60,1
12507010,12,75800,1.7526,72,1
12510010,12,106142.4726,1.778,79,0
12510020,12,106142.4726,1.7272,79,1
12512010,12,140800,1.7526,75,0
12512020,12,140800,1.7272,75,1
12516010,12,36977,1.7018,77,0
12516040,12,36977,1.6764,70,1
12529020,12,25200.6,1.524,81,1
12543010,12,71910,1.8034,74,1
12549010,12,88661.51205,1.7018,72,0
12549011,12,31000,1.6002,55,1
12549040,12,230662.6967,1.6256,61,1
12562010,12,267248,1.5494,74,1
12571020,12,18594.25976,1.5748,78,1
12573010,12,81804,1.5875,77,1
12573011,12,81804,1.7399,75,0
12586010,12,32400,1.8542,74,0
12586020,12,32400,1.6764,74,1
12588010,12,76440,1.651,82,1
12588020,12,76440,1.8034,82,0
12596010,12,124987.5663,1.7018,78,0
12596040,12,124987.5663,1.6256,69,1
12605040,12,10044,1.6764,58,1
12611010,12,52136,1.8034,80,0
12648040,12,20600,1.651,65,0
12666010,12,17086.8631,1.5748,77,1
12671010,12,28164,1.524,72,1
12682010,12,22404,1.5748,74,1
12682011,12,22404,1.7272,67,0
12695020,12,62685.23839,1.778,73,0
12695030,12,62685.23839,1.7526,63,1
12715030,12,42000,1.7018,69,1
12738010,12,0,1.6764,76,0
12738020,12,0,1.5494,66,1
12744010,12,79978.69698,1.6256,80,0
12744011,12,26400,1.4732,81,1
12745010,12,50400,1.8034,73,0
12745020,12,50400,1.651,72,1
12756010,12,256796,1.6256,74,1
12756011,12,256796,1.7526,74,0
12786010,12,153843.2806,1.8161,73,0
12792010,12,79404,1.6764,79,1
12821010,12,51600,1.524,74,1
12852020,12,34368,1.8288,78,0
12852030,12,94120,1.778,57,1
12854010,12,14076,1.6002,79,1
12864020,12,27012,1.6002,79,1
12887010,12,16800,1.524,81,1
12909020,12,24800,1.524,75,1
12967010,12,46416,1.651,72,1
12974010,12,32156,1.6129,76,1
12979010,12,58740,1.7399,77,0
12979020,12,58740,1.6256,78,1
12981030,12,162840,1.6256,84,0
12981031,12,162840,1.524,71,1
12987020,12,6000,1.6764,81,0
13062010,12,13500,1.6637,78,1
13063010,12,25432,1.5748,73,1
13140010,12,19512,1.6764,82,1
13158010,12,41136,1.9558,74,0
13176020,12,46944.49097,1.651,76,1
13189030,12,142304,1.6129,67,1
13194010,12,74096,1.4986,76,1
13194011,12,13212,1.778,69,0
13208010,12,13200,1.5494,83,1
13211010,12,27630.78056,1.9558,78,0
13211020,12,27630.78056,1.778,79,1
13216010,12,9800,1.6002,79,1
13231010,12,20832,1.7018,73,0
13231020,12,20832,1.6002,76,1
13296010,12,85444.31468,1.6256,79,1
13305030,12,15777.89222,1.5494,68,1
13317010,12,9492,1.8034,77,1
13318020,12,32640,1.7272,80,0
13344010,12,270160,1.7272,72,0
13344040,12,270160,1.524,64,1
13371010,12,54000,1.778,80,0
13371012,12,54000,1.524,67,1
13390020,12,17124,1.8034,77,0
13392020,12,12240,1.6764,72,0
13399010,12,37984,1.651,75,1
13418010,12,21600,1.8034,76,0
13433030,12,4872,1.6256,64,1
13465010,12,31800,1.7018,75,0
13465040,12,31800,1.524,64,1
13527020,12,31623.89484,1.651,76,1
13535020,12,82561.80222,1.524,81,1
13547020,12,13764,1.6002,79,1
13552020,12,60600,1.4732,79,1
13552030,12,60600,1.6764,84,0
13561020,12,29948,1.8288,73,0
13573010,12,21600,1.5494,76,1
13583030,12,16342.53195,1.7526,71,1
13590030,12,81400,1.5748,69,1
13590040,12,81400,1.79705,72,0
13595011,12,82003,1.6256,72,1
13598020,12,28800,1.7907,74,0
13600010,12,94960,1.8288,80,0
13600020,12,94960,1.651,79,1
13612010,12,20084,1.7018,73,1
13635010,12,23470,1.778,75,0
13635020,12,23470,1.7018,75,1
13656040,12,10020,1.6002,68,1
13671010,12,52605.50253,1.7272,76,0
13671020,12,52605.50253,1.6002,77,1
13678010,12,86856,1.6383,74,0
13678040,12,86856,1.6637,68,1
13734010,12,20760,1.7018,75,0
13734020,12,20760,1.6002,77,1
13738010,12,30870.49221,1.6637,81,1
13738020,12,30870.49221,1.778,82,0
13753010,12,51784.62476,1.5748,79,1
13753020,12,51784.62476,1.778,83,0
13784010,12,113635.2,1.7272,73,1
13784040,12,113635.2,1.8288,72,0
13802020,12,26930.75616,1.6256,75,1
13808010,12,168000,1.6764,75,0
13808011,12,168000,1.5621,75,1
13813010,12,18136.4714,1.651,75,1
13814010,12,71344.45483,1.651,75,0
13814040,12,71344.45483,1.6256,69,1
13815010,12,18967.8,1.7018,75,1
13816010,12,204989.9699,1.778,73,0
13816040,12,204989.9699,1.6002,72,1
13817010,12,67824,1.6256,74,1
13817011,12,67824,1.5748,68,1
13817040,12,90603.06941,1.6002,65,1
13817041,12,90603.06941,1.524,69,1
13820010,12,244429.16,1.651,73,1
13820020,12,244429.16,1.778,75,0
13857010,12,43600,1.8288,83,0
13857020,12,43600,1.5748,79,1
13858020,12,64560,1.8288,73,0
13858030,12,64560,1.5875,71,1
13894010,12,24384,1.8034,73,0
13894011,12,24384,1.651,71,1
13899040,12,83723.78349,1.651,69,1
13899041,12,83723.78349,1.6764,74,0
13902010,12,257976,1.7018,79,0
13902020,12,257976,1.5748,79,1
13912010,12,54868,1.7018,76,0
13912020,12,54868,1.5494,77,1
13915011,12,21644,1.778,83,0
13916010,12,250600,1.7526,72,0
13916040,12,250600,1.651,68,1
13974010,12,20000,1.8034,76,0
14024030,12,8400,1.7145,84,0
14028010,12,45520,1.778,74,0
14028020,12,45520,1.6129,73,1
14033010,12,49000,1.8288,75,0
14043010,12,123332,1.6256,78,1
14043020,12,123332,1.7272,83,0
14069010,12,32597,1.8669,79,0
14069020,12,32597,1.524,78,1
14072010,12,47932,1.8288,72,0
14072040,12,47932,1.7018,69,1
14080030,12,15267.2,1.651,84,0
14081010,12,113401,1.7399,73,0
14085010,12,36904,1.7145,72,0
14092010,12,44320,1.5621,79,1
14098010,12,15062.01234,1.5494,74,1
14104020,12,108251.008,1.8288,75,0
14115020,12,34812,1.8542,73,0
14115021,12,34812,1.651,72,1
14129020,12,12000,1.6256,78,1
14136040,12,7740,1.6891,64,1
14149020,12,178273,1.6764,74,0
14149030,12,178273,1.6256,70,1
14157010,12,1572,1.7018,73,0
14159030,12,11184.24,1.6002,72,1
14167010,12,57552,1.8542,75,0
14167040,12,57552,1.7145,62,1
14188020,12,20400,1.651,80,1
14193040,12,108501.811,1.5494,72,1
14214010,12,21037.48415,1.6002,73,1
14223010,12,13150.09712,1.6764,82,1
14224010,12,19442,1.5494,74,1
14234010,12,27084,1.7272,76,0
14234011,12,143620,1.6764,69,1
14234041,12,74785,1.7272,72,0
14247010,12,75840,1.651,75,0
14247040,12,75840,1.5494,66,1
14251010,12,19460,1.6764,81,1
14252010,12,89472,1.7018,72,1
14253010,12,20400,1.6002,76,1
14259020,12,41300,1.6256,83,1
14270040,12,11400,1.5494,65,1
14272011,12,19200,1.778,77,0
14275010,12,14352,1.8542,77,0
14307010,12,48000,1.7526,80,0
14332010,12,54644,1.6256,73,1
14332011,12,21788.1067,1.8796,77,0
14341010,12,29820,1.8034,82,0
14349010,12,17902.83304,1.6764,74,0
14359010,12,41714.18723,1.7272,76,0
14359020,12,41714.18723,1.5494,74,1
14397010,12,83600,1.8796,76,0
14397020,12,83600,1.4986,74,1
14411010,12,20116,1.778,76,0
14420010,12,11280,1.5621,75,1
14420020,12,11280,1.8288,75,0
14427010,12,118300.48,1.7526,73,0
14427040,12,41436,1.524,62,1
14430010,12,32400.64,1.5494,74,1
14430020,12,32400.64,1.7272,77,0
14433020,12,4500,1.8034,83,0
14434020,12,25896,1.4986,82,1
14434030,12,25896,1.651,83,0
14436020,12,24204,1.7018,73,0
14436021,12,24204,1.6002,74,1
14449010,12,239144.4449,1.7526,73,0
14449040,12,239144.4449,1.7272,71,1
14455011,12,23400,1.5748,81,1
14456010,12,50199.33313,1.5748,82,1
14456020,12,50199.33313,1.7526,81,0
14458030,12,79116,1.4732,67,1
14458031,12,79116,1.7018,70,0
14568020,12,86006.17088,1.6764,76,1
14578040,12,56000,1.524,64,1
14587010,12,48012,1.6256,73,1
14605010,12,83980,1.8288,73,0
14605040,12,83980,1.5494,56,1
14617020,12,16800,1.6764,73,1
14619020,12,47928,1.6002,79,1
14619021,12,47928,1.7272,82,0
14624010,12,37152,1.7526,72,0
14624040,12,37152,1.5748,61,1
14655030,12,37984.83199,1.8542,84,0
14672040,12,1622,1.6256,63,1
14674010,12,10800,1.5748,80,1
14726010,12,78624,1.7526,72,0
14726040,12,78624,1.651,72,1
14736020,12,16801,1.6256,74,1
14746010,12,24483,1.8288,78,0
14754010,12,18228,1.778,76,0
14754040,12,50569.09689,1.5875,64,1
14756010,12,97500,1.8034,75,0
14756040,12,97500,1.6256,69,1
14758020,12,340400,1.5494,74,1
14758030,12,340400,1.7018,71,0
14787010,12,26688,1.524,78,1
14802010,12,22044,1.524,79,1
14830010,12,30000,1.6002,73,1
14830020,12,30000,1.6764,80,0
14844010,12,55207,1.7018,74,1
14852020,12,49000,1.7018,75,1
14872010,12,55092,1.8288,83,0
14872020,12,55092,1.651,79,1
14955010,12,28776,1.8288,77,0
14955040,12,28776,1.5748,65,1
14959010,12,65506,1.8161,81,0
14959020,12,65506,1.7145,81,1
14981010,12,22575,1.6256,73,1
14992010,12,18000,1.8034,73,0
15000010,12,473028.12,1.8288,73,0
15000011,12,473028.12,1.6002,60,1
15015020,12,48396,1.8288,78,0
15023010,12,46496.20528,1.6764,81,1
15048010,12,26263,1.5748,78,1
15056020,12,40636,1.7272,81,1
15080040,12,19440,1.5875,65,1
15148010,12,18948,1.651,75,1
15159010,12,21723.81587,1.4732,76,1
15172010,12,21600,1.7272,78,0
15189010,12,18864,1.5748,81,1
15204010,12,156200,1.651,77,0
15204020,12,156200,1.4986,73,1
15225010,12,282800,1.7272,81,0
15225020,12,282800,1.6256,77,1
15230010,12,57362,1.6764,81,0
15230020,12,57362,1.6002,79,1
15236010,12,137100,1.778,78,0
15236040,12,137100,1.5748,60,1
15239010,12,176760,1.8542,80,0
15294010,12,68709,1.6256,75,1
15304020,12,8740,1.6764,77,1
15339010,12,48251,1.5494,76,1
15344010,12,38400,1.6002,74,1
15344020,12,38400,1.7018,77,0
15372010,12,57294,1.8034,74,0
15429010,12,20124,1.6764,82,1
15436010,12,78060,1.6764,79,0
15436020,12,78060,1.6002,78,1
15440010,12,73839.24145,1.778,82,0
15440040,12,73839.24145,1.6256,66,1
15445010,12,72892,1.778,73,0
15445040,12,72892,1.5748,68,1
15447010,12,24455,1.6002,80,1
15447020,12,24455,1.778,80,0
15497010,12,7200,1.6764,74,0
15497040,12,7200,1.5748,70,1
15511040,12,72000,1.5748,65,1
15514020,12,78642.23941,1.5748,79,1
15514030,12,78642.23941,1.7272,83,0
15516010,12,570,1.778,73,0
15516020,12,570,1.524,73,1
15536010,12,19205,1.5494,75,1
15536011,12,15600,1.8288,67,0
15537010,12,105101.2,1.8542,76,0
15543010,12,78660,1.6002,81,1
15543020,12,78660,1.7272,81,0
15560040,12,39004,1.6764,61,1
15581010,12,20400,1.524,74,1
15581011,12,20400,1.7018,77,0
15591010,12,17172.12,1.6256,76,1
15593020,12,19692.84,1.6256,81,1
15618010,12,16800,1.651,76,1
15625010,12,32292.43582,1.7653,76,0
15648020,12,277625,1.5748,74,1
15657010,12,31200,1.6002,82,1
15658010,12,18595.93723,1.651,81,1
15698010,12,97368,1.778,74,0
15698040,12,97368,1.6002,67,1
15709020,12,67981.92325,1.5748,81,1
15726040,12,16080,1.4732,71,1
15730030,12,30439.2038,1.5748,71,1
15752020,12,70188,1.7018,72,1
15776010,12,25333.40779,1.6256,82,0
15776020,12,25333.40779,1.6764,75,1
15779010,12,96952,1.651,74,0
15779040,12,96952,1.5748,70,1
15781010,12,9072,1.5367,74,1
15784020,12,12000,1.7907,82,0
15793010,12,104475.2,1.6002,72,1
15793011,12,104475.2,1.7018,81,0
15801040,12,28960,1.5875,72,1
15833010,12,65100,1.778,75,0
15833020,12,65100,1.5748,74,1
15834010,12,42121.2,1.7272,76,0
15836010,12,64953.5315,1.7526,74,0
15836020,12,64953.5315,1.6002,73,1
15840020,12,111720,1.5621,82,1
15883010,12,47304,1.778,83,0
15883011,12,47304,1.7018,69,1
15889020,12,15600,1.7526,73,1
15893010,12,31200,1.7272,75,0
15893020,12,31200,1.5621,75,1
15897020,12,16920,1.651,83,1
15911010,12,9000,1.5494,73,1
15911022,12,12312,1.6256,72,1
15932010,12,119038.7505,1.7526,79,0
15972010,12,38000,1.6764,74,1
15981010,12,188784.8983,1.6256,77,1
15982010,12,37200,1.778,75,0
15983010,12,50800,1.7272,76,0
15986010,12,80783.00222,1.7272,74,0
15992020,12,128508,1.7907,75,0
15992030,12,128508,1.7272,66,1
15995010,12,89140,1.8796,76,0
15995020,12,89140,1.6764,78,1
16022010,12,85292,1.7272,73,0
16022040,12,85292,1.6256,71,1
16024010,12,322613.7676,1.8669,75,0
16024020,12,322613.7676,1.6637,75,1
16035010,12,64399.92,1.524,80,1
16035040,12,64399.92,1.778,83,0
16036010,12,24618.96804,1.6764,80,1
16036040,12,24618.96804,1.8034,83,0
16042010,12,40000,1.524,80,1
16043020,12,33300,1.778,75,0
16048010,12,80631.43435,1.5748,73,1
16048020,12,80631.43435,1.8288,76,0
16054020,12,42000,1.6256,80,1
16062010,12,79812,1.6256,75,0
16062040,12,79812,1.524,68,1
16064010,12,81354,1.8288,73,0
16086010,12,31036,1.8796,80,0
16086020,12,31036,1.6256,77,1
16107010,12,22050,1.8034,79,0
16116010,12,40536,1.8034,77,0
16116020,12,40536,1.6256,75,1
16119020,12,23840,1.6383,83,1
16161020,12,128612.2118,1.6256,83,1
16162010,12,35992,1.8034,74,0
16162040,12,35992,1.6764,71,1
16174010,12,31090,1.8034,77,0
16174040,12,31090,1.778,71,1
16197020,12,36442,1.6256,72,1
16211010,12,26775.327,1.7526,78,0
16220010,12,14040,1.524,82,1
16221010,12,170226.9908,1.7018,73,1
16233010,12,61008,1.7018,81,1
16233020,12,61008,1.7907,79,0
16237030,12,68398.91423,1.8034,84,0
16245010,12,4152,1.6764,72,0
16245040,12,4152,1.6256,69,1
16247030,12,16788,1.6002,72,1
16250010,12,108000,1.778,81,0
16306010,12,14596.84243,1.6764,82,1
16331011,12,6468,1.6002,74,1
16376020,12,46411,1.651,82,1
16381010,12,44408,1.7018,81,1
16400010,12,13536,1.7018,78,1
16404010,12,127367.9309,1.778,75,0
16404020,12,127367.9309,1.6256,75,1
16407010,12,44520,1.6764,80,0
16407011,12,44520,1.651,69,1
16412010,12,111932.9728,1.6764,79,0
16412020,12,111932.9728,1.6764,73,1
16415010,12,12924,1.6256,76,1
16420010,12,28880,1.7272,72,0
16420020,12,28880,1.651,72,1
16433010,12,31032,1.7907,78,0
16433020,12,31032,1.524,81,1
16437020,12,16920,1.7018,78,1
16439020,12,0,1.524,76,1
16444010,12,26272,1.6002,80,1
16449020,12,19836,1.8034,75,0
16454020,12,15844,1.6764,80,1
16460010,12,9564,1.5748,72,1
16468010,12,44016,1.8034,72,0
16468040,12,44016,1.651,67,1
16471010,12,24808,1.6764,77,1
16475010,12,37400,1.8034,76,0
16478010,12,52394.12,1.6002,78,1
16484020,12,89073,1.778,77,1
16491010,12,21002.56,1.6002,74,1
16528030,12,71834.5791,1.7018,71,0
16528040,12,71834.5791,1.5875,70,1
16541010,12,11400,1.8288,77,0
16566010,12,25272,1.8288,76,0
16566020,12,25272,1.7526,72,0
16599010,12,9600,1.4478,73,1
16602020,12,12948,1.5748,73,1
16606010,12,9480,1.524,77,1
16612010,12,38460,1.524,81,0
16619020,12,7956,1.7272,75,0
16631010,12,42006.39927,1.8034,74,0
16631020,12,42006.39927,1.5494,72,1
16648010,12,76119,1.8288,73,0
16648020,12,76119,1.6764,72,1
16650020,12,233448,1.6002,76,1
16650030,12,233448,1.7272,84,0
16659010,12,72480,1.8288,79,0
16659040,12,72480,1.7526,63,1
16660010,12,598940.9357,1.8034,77,0
16663010,12,58963,1.4732,81,1
16672020,12,27662.67286,1.6256,79,1
16698010,12,13200,1.6383,81,1
16700020,12,23088,1.7018,80,0
16705010,12,36600,1.651,74,1
16705020,12,36600,1.7526,75,0
16706010,12,39060,1.651,81,1
16706020,12,39060,1.7272,80,0
16710010,12,14400,1.5494,77,1
16711010,12,63082,1.4732,83,1
16715030,12,26400,1.6383,64,1
16715040,12,26400,1.8288,72,0
16736010,12,62805.11539,1.6637,74,0
16736020,12,62805.11539,1.5748,74,1
16747010,12,44880,1.778,81,0
16747020,12,44880,1.6764,76,1
16761010,12,20412,1.6764,75,1
16770010,12,12252,1.5494,81,1
16789010,12,39200,1.8796,73,0
16799010,12,60600,1.8034,81,0
16799040,12,60600,1.5748,64,1
16810010,12,55600,1.7018,73,0
16810011,12,55600,1.4859,69,1
16822010,12,18756.48,1.6002,74,1
16822020,12,18756.48,1.7018,75,0
16827010,12,32400,1.651,81,1
16848010,12,35256,1.5748,82,1
16855020,12,24600,1.6764,83,1
16856010,12,93606,1.7399,76,0
16856040,12,93606,1.6256,71,1
16870010,12,58658.81061,1.4986,81,1
16873030,12,23354,1.9558,71,0
16904010,12,81044,1.5748,74,1
16904011,12,81044,1.7272,77,0
16914010,12,21000,1.5748,75,1
16925010,12,84996,1.8288,73,0
16925040,12,84996,1.651,72,1
16935010,12,41400,1.651,81,1
16954010,12,91024,1.6764,74,1
16956010,12,62300,1.6764,73,1
16959010,12,36100,1.7526,81,0
16973020,12,18720,1.8034,73,0
16973030,12,17988,1.7018,65,1
16973031,12,32868,1.7272,77,0
16973032,12,25172,1.8288,72,0
16973033,12,17988,1.8288,69,0
16975040,12,21889.46088,1.651,70,1
16989010,12,19308,1.7018,75,0
16994040,12,27848,1.5748,71,1
16996020,12,70483.49798,1.7018,82,0
17027040,12,64832,1.778,64,1
17028010,12,52221.8,1.7018,74,1
17038030,12,19236,1.6256,69,1
17041010,12,30265.8083,1.6764,76,0
17050020,12,34184,1.905,74,0
17050030,12,34184,1.6002,69,1
17061010,12,101722,1.6764,76,1
17075010,12,74449.97389,1.8288,82,0
17075020,12,74449.97389,1.5494,80,1
17077040,12,16830.98767,1.6002,71,1
17093040,12,28990.15396,1.524,71,1
17107010,12,58648.5897,1.778,78,0
17134011,12,1000,1.7018,58,1
17136010,12,13416,1.778,74,0
17159010,12,99768.12,1.5748,73,1
17159011,12,99768.12,1.8542,57,0
17175010,12,8869,1.70815,74,1
17199010,12,19344,1.6002,78,1
17209010,12,79948,1.7907,73,0
17209011,12,79948,1.5748,61,1
17234010,12,23508,1.6764,77,0
17234040,12,23508,1.6002,71,1
17237010,12,40728,1.8034,77,0
17237020,12,40728,1.5748,78,1
17239010,12,8400,1.651,81,0
17241010,12,97322.34968,1.8034,83,0
17241011,12,97322.34968,1.6256,84,1
17279010,12,34880,1.778,78,0
17279040,12,34880,1.6002,69,1
17282020,12,96316,1.6764,73,0
17282030,12,96316,1.524,64,1
17303010,12,12120,1.5748,74,1
17319010,12,466612,1.8288,82,0
17328010,12,16484,1.7399,75,0
17328011,12,133191.1059,1.7272,75,1
17328040,12,12000,1.6764,60,1
17356010,12,54000,1.6256,76,1
17356020,12,54000,1.7526,77,0
17363010,12,32736,1.6256,78,1
17366010,12,16654,1.7526,82,0
17371010,12,10453,1.6002,80,1
17383010,12,81312,1.8796,74,0
17383012,12,81312,1.524,65,1
17388010,12,13176,1.4986,78,1
17389010,12,39492,1.5621,77,1
17392010,12,68872,1.7018,72,0
17392040,12,68872,1.6764,69,1
17428010,12,15888,1.7526,76,0
17449010,12,16308,1.651,75,1
17468010,12,17659.66651,1.5875,81,1
17473010,12,79608,1.651,81,1
17491010,12,33720,1.7272,81,0
17491020,12,33720,1.6764,80,1
17492010,12,19200,1.7526,74,0
17492040,12,16000,1.7272,55,1
17506020,12,18732,1.524,82,1
17520010,12,156120,1.5748,77,1
